mouse_ID,shave_pattern,start_time,end_time,elapsed_time_s,
NS9,LB,6:39:54,6:40:20,26,
NS10,RB,5:52:16,5:52:24,6,
NS9,LB,4:09:46,4:10:09,23,
NS10,RB,2:50:28,2:50:48,20,
NS10,RB,1:57:33,1:57:52,19,
NS4,LF,1:18:23,1:18:49,26,
NS7,AB,1:07:29,1:07:58,29,
NS7,AB,23:58:33,23:58:55,22,
NS9,LB,23:00:35,23:01:01,26,
NS7,AB,22:43:21,22:43:39,18,
NS7,AB or RF,20:44:24,20:44:50,26,
NS9,LB,20:40:25,20:41:16,51,
NS8,RF,19:07:36,19:08:12,36,
NS4,LF,16:51:01,16:51:47,46,
,male no shave,19:39:45,19:40:11,26,NEW DAY
,male no shave,20:34:56,20:35:17,21,